,price,location,city,latitude,longitude,baths,purpose,bedrooms,date_added,Total_Area
0,4200000,North Karachi,Karachi,24.95747,67.064222,2,For Sale,2,8/21/2018,9801.036
1,2600000,Nazimabad,Karachi,24.922948,67.024326,2,For Sale,2,8/21/2018,8439.780999999999
2,10500000,Hassan Town,Lahore,31.505514,74.26509,6,For Sale,6,8/7/2018,1361.255
3,3100000,Gadap Town,Karachi,25.016433,67.060102,2,For Sale,2,8/21/2018,11434.542
4,500000000,Canal Burg,Lahore,31.475302,74.244671,9,For Sale,7,8/7/2018,81675.0
5,6000000,Main Canal Bank Road,Lahore,31.578356,74.461773,3,For Sale,4,8/7/2018,1361.255
6,22500000,Bahria Town,Lahore,31.374451,74.183121,6,For Sale,5,8/7/2018,2722.51
7,135000,F-10,Islamabad,33.691531,73.005431,6,For Rent,5,8/8/2018,5445.0
8,9500000,Ahmad Avenue,Lahore,31.44525,74.292762,5,For Sale,4,8/7/2018,1361.255
9,2600000,Korang Town,Islamabad,33.579034,73.139591,2,For Sale,2,8/8/2018,8984.283
10,5900000,Shershah Colony - Raiwind Road,Lahore,31.410095,74.222553,3,For Sale,3,8/7/2018,816.7529999999999
11,16000000,Gulistan-e-Jauhar,Karachi,24.926606,67.130384,3,For Sale,3,8/21/2018,1633.506
12,25000,Gulistan-e-Jauhar,Karachi,24.926606,67.130384,3,For Rent,2,8/22/2018,13068.048
13,90000000,Garden Town,Lahore,31.503922,74.323139,9,For Sale,8,8/7/2018,10890.0
14,27500000,PIA Housing Scheme,Lahore,31.44396699,74.27482244,6,For Sale,6,8/7/2018,4083.765
15,9000000,Bahria Town Rawalpindi,Rawalpindi,33.485576,73.08393,4,For Sale,3,8/8/2018,1361.255
16,29600000,Johar Town,Lahore,31.469082,74.266148,7,For Sale,5,8/7/2018,2722.51
17,5083000,Koral Town,Islamabad,33.602038,73.141966,2,For Sale,2,8/8/2018,1089.004
18,11500000,Mughalpura,Lahore,31.571516,74.367084,5,For Sale,5,8/7/2018,1361.255
19,5500000,Ghauri Town,Islamabad,33.613117,73.130905,3,For Sale,2,8/8/2018,1089.004
20,2400000,GT Road,Islamabad,33.524407,73.146978,1,For Sale,1,8/8/2018,7350.776999999999
21,7600000,H-13,Islamabad,33.629738,72.974365,4,For Sale,4,8/8/2018,1361.255
22,10500000,Shah Kamal Road,Lahore,31.52607,74.307452,3,For Sale,5,8/7/2018,20418.825
23,6500000,Gulshan-e-Iqbal Town,Karachi,24.898465,67.0625,2,For Sale,2,8/21/2018,1089.004
24,23000000,Margalla Town,Islamabad,33.67214886,73.10516238,2,For Sale,2,8/8/2018,2450.259
25,25000,DHA Defence,Islamabad,33.527943,73.16139,0,For Rent,1,8/8/2018,544.502
26,3150000,Ghous Garden,Lahore,31.584607,74.481766,2,For Sale,1,8/7/2018,1089.004
27,35000000,Peshawar Road,Rawalpindi,33.602665,73.0302,6,For Sale,7,8/8/2018,65340.0
28,30000000,Cantt,Lahore,31.5288,74.39312,4,For Sale,11,8/7/2018,3811.514
29,20000,Bahria Town Karachi,Karachi,24.894076,67.027715,2,For Rent,2,8/22/2018,11434.542
30,32000000,Gulshan-e-Iqbal Town,Karachi,24.92754,67.104406,6,For Sale,6,8/21/2018,2178.008
31,6500000,Garhi Shahu,Lahore,31.564543,74.347084,5,For Sale,5,8/7/2018,8712.032
32,21500000,Army Officers Colony,Rawalpindi,33.538273,73.082596,0,For Sale,0,8/8/2018,4083.765
33,12000000,Sadiqa Abad,Rawalpindi,33.63238,73.080232,2,For Sale,4,8/8/2018,1361.255
34,1200000,Korangi,Karachi,24.826235,67.108905,1,For Sale,2,8/21/2018,4356.016
35,55000,Shaheed Millat Road,Karachi,24.876976,67.069237,2,For Rent,2,8/22/2018,12795.797
36,24000000,DHA Defence,Karachi,24.803643,67.074094,3,For Sale,3,8/21/2018,17424.064
37,5000000,Gulistan-e-Jauhar,Karachi,24.926606,67.130384,2,For Sale,2,8/21/2018,9801.036
38,11000000,Bahria Town Rawalpindi,Rawalpindi,33.485576,73.08393,5,For Sale,4,8/8/2018,1361.255
39,12000000,Bahria Town,Lahore,31.355396,74.18556,0,For Sale,0,8/7/2018,17151.813
40,1600000,Gulshan-e-Iqbal Town,Karachi,24.95618,67.115135,2,For Sale,1,8/21/2018,7623.027999999999
41,40000000,DHA Defence,Karachi,24.821639,67.071691,3,For Sale,3,8/21/2018,1089.004
42,25000000,Jamshed Town,Karachi,24.87329679,67.03156829,4,For Sale,4,8/21/2018,23141.335
43,12500000,Al-Raheem Garden,Lahore,31.596603,74.473724,5,For Sale,4,8/7/2018,1633.506
44,53500000,Garden Town,Lahore,31.503922,74.323139,5,For Sale,5,8/7/2018,5445.0
45,10000,Pir Wadhai,Rawalpindi,33.632022,73.039205,0,For Rent,0,8/21/2018,544.502
46,6500000,D Type Colony,Faisalabad,31.380643,73.080497,2,For Sale,5,8/21/2018,9528.785
47,6200000,Al Rehman Garden,Lahore,31.598824,74.228218,4,For Sale,3,8/7/2018,1361.255
48,18000,Bin Qasim Town,Karachi,24.871486,67.358794,2,For Rent,3,8/22/2018,13068.048
49,8800000,Gadap Town,Karachi,25.015331,67.126094,3,For Sale,5,8/21/2018,13068.048
50,35000000,Lahore Cantt Coop Housing,Lahore,31.48493,74.398034,0,For Sale,0,8/7/2018,5445.0
51,4500000,Jamshed Road,Karachi,24.88084,67.041705,2,For Sale,2,8/21/2018,10345.538
52,15000000,Gulshan-e-Iqbal Town,Karachi,24.896947,67.071962,2,For Sale,3,8/21/2018,14429.302999999998
53,230000000,New Muslim Town,Lahore,31.51442088,74.31501031,9,For Sale,11,8/7/2018,21780.0
54,25000000,Amil Colony,Karachi,24.884539,67.026494,0,For Sale,0,8/21/2018,16879.561999999998
55,300000,Faisal Gardens,Faisalabad,31.463152,73.173134,6,For Rent,6,8/21/2018,70785.0
56,3500000,Marwa Town,Islamabad,33.62902,73.152885,2,For Sale,2,8/8/2018,6806.275
57,12000000,Samanabad,Lahore,31.539206,74.305515,4,For Sale,4,8/7/2018,1089.004
58,55000,Gulshan-e-Iqbal Town,Karachi,24.88122,67.079576,3,For Rent,3,8/22/2018,3267.012
59,33000,E-11,Islamabad,33.699413,72.97441,2,For Rent,2,8/8/2018,11434.542
60,9000000,Gulistan-e-Jauhar,Karachi,24.920383,67.129166,2,For Sale,2,8/7/2018,11979.043999999998
61,17000000,Malir,Karachi,24.9052,67.187485,6,For Sale,4,8/21/2018,13068.048
62,38000000,DHA Defence,Karachi,24.819653,67.077749,4,For Sale,4,8/21/2018,13068.048
63,58000,Chatha Bakhtawar,Islamabad,33.66647,73.153934,6,For Rent,5,8/8/2018,1633.506
64,30000,Affandi Colony,Rawalpindi,33.631594,73.08103,2,For Rent,3,8/21/2018,1361.255
65,35000,G-11,Islamabad,33.675604,73.000367,2,For Rent,2,8/8/2018,1089.004
66,42000,North Nazimabad,Karachi,24.955324,67.051063,2,For Rent,3,8/22/2018,2178.008
67,19500000,Media Town,Rawalpindi,33.55859803,73.13064337,7,For Sale,6,8/8/2018,3267.012
68,26000000,G-13,Islamabad,33.65226661,72.9614979,4,For Sale,4,8/8/2018,2178.008
69,15000,Misryal Road,Rawalpindi,33.60051224,72.99803066,2,For Rent,3,8/21/2018,2722.51
70,7500000,Gadap Town,Karachi,25.000722,67.115049,3,For Sale,3,8/21/2018,2178.008
71,5700000,Lalazaar Garden,Lahore,31.509068,74.24677,5,For Sale,3,8/7/2018,816.7529999999999
72,9300000,Gulistan-e-Jauhar,Karachi,24.926606,67.130384,3,For Sale,3,8/21/2018,18240.817
73,17000,Punjab Government Servant Housing Foundation (PGSHF),Rawalpindi,33.517469,73.046617,2,For Rent,2,8/21/2018,1633.506
